screenshot_id,captured_at,rank,confidence,version_folder,file,line,renderer_family,title_score,type_score,metric_score,date_score,matched_terms
media__1775761698824 copy.png,2026-04-09 19:08:42,1,0.8036,viewtube copy 8,/Users/cwb/Downloads/APP_COPIES/viewtube copy 8/src/views/ResearchLab.tsx,1995,GoogleChart,0.5,1.0,1.0,0.986,"top performers trio, views, watch time, revenue"
media__1775761698824 copy.png,2026-04-09 19:08:42,2,0.7387,viewtube copy 7,/Users/cwb/Downloads/APP_COPIES/viewtube copy 7/src/views/ResearchLab.tsx,1993,GoogleChart,0.5,1.0,1.0,0.3373,"top performers trio, views, watch time, revenue"
media__1775761698824 copy.png,2026-04-09 19:08:42,3,0.7283,ustube-CHARTS,/Users/cwb/Downloads/APP_COPIES/ustube-CHARTS/views/ResearchLab.tsx,1072,GoogleChart,0.5,1.0,1.0,0.2333,"top performers trio, views, watch time, revenue"
media__1775761698824 copy.png,2026-04-09 19:08:42,4,0.7242,viewtube_copy_10,/Users/cwb/Downloads/APP_COPIES/viewtube_copy_10/New Folder With Items copy/src/views/ResearchLab.tsx,1996,GoogleChart,0.5,1.0,1.0,0.9919,"top performers trio, views, watch time, revenue"
media__1775761698824 copy.png,2026-04-09 19:08:42,5,0.6976,viewtube_copy_9,/Users/cwb/Downloads/APP_COPIES/viewtube_copy_9/src/views/ChartsGallery/MasterGraphsPage.tsx,216,Recharts,0.5,1.0,1.0,0.7256,"top performers trio, views, watch time, revenue"
media__1775761698824 copy.png,2026-04-09 19:08:42,6,0.6976,viewtube_copy_10,/Users/cwb/Downloads/APP_COPIES/viewtube_copy_10/New Folder With Items copy/src/views/ChartsGallery/MasterGraphsPage.tsx,216,Recharts,0.5,1.0,1.0,0.7256,"top performers trio, views, watch time, revenue"
media__1775761698833 copy.png,2026-04-09 19:08:42,1,0.8036,viewtube copy 8,/Users/cwb/Downloads/APP_COPIES/viewtube copy 8/src/views/ResearchLab.tsx,2818,GoogleChart,0.5,1.0,1.0,0.986,"video value matrix, ctr, retention"
media__1775761698833 copy.png,2026-04-09 19:08:42,2,0.7387,viewtube copy 7,/Users/cwb/Downloads/APP_COPIES/viewtube copy 7/src/views/ResearchLab.tsx,2816,GoogleChart,0.5,1.0,1.0,0.3373,"video value matrix, ctr, retention"
media__1775761698833 copy.png,2026-04-09 19:08:42,3,0.7283,ustube-CHARTS,/Users/cwb/Downloads/APP_COPIES/ustube-CHARTS/views/ResearchLab.tsx,1789,GoogleChart,0.5,1.0,1.0,0.2333,"video value matrix, ctr, retention"
media__1775761698833 copy.png,2026-04-09 19:08:42,4,0.7242,viewtube_copy_10,/Users/cwb/Downloads/APP_COPIES/viewtube_copy_10/New Folder With Items copy/src/views/ResearchLab.tsx,2819,GoogleChart,0.5,1.0,1.0,0.9919,"video value matrix, ctr, retention"
media__1775761698833 copy.png,2026-04-09 19:08:42,5,0.7079,viewtube_copy_9,/Users/cwb/Downloads/APP_COPIES/viewtube_copy_9/src/views/DataVizualizations.tsx,31,Custom,0.5,1.0,1.0,0.8294,"video value matrix, ctr, retention"
media__1775761698833 copy.png,2026-04-09 19:08:42,6,0.7079,viewtube_copy_10,/Users/cwb/Downloads/APP_COPIES/viewtube_copy_10/New Folder With Items copy/src/views/DataVizualizations.tsx,31,Custom,0.5,1.0,1.0,0.8294,"video value matrix, ctr, retention"
media__1777135346469.png,2026-04-25 16:44:46,1,0.7780,Research Lab TSX code,/Users/cwb/Downloads/viewtube/docs/Research Lab TSX code/ResearchLab (2) copy.tsx,1037,GoogleChart,0.6,1.0,1.0,0.9802,"shorts retention, packaging, research lab"
media__1777135346469.png,2026-04-25 16:44:46,2,0.7771,Research Lab TSX code,/Users/cwb/Downloads/viewtube/docs/Research Lab TSX code/ResearchLab (3).tsx,1037,GoogleChart,0.6,1.0,1.0,0.9715,"shorts retention, packaging, research lab"
media__1777135346469.png,2026-04-25 16:44:46,3,0.6800,Research Lab TSX code,/Users/cwb/Downloads/viewtube/docs/Research Lab TSX code/ResearchLab.tsx,2006,GoogleChart,0.6,1.0,1.0,0.0,"shorts retention, packaging, research lab"
media__1777135346469.png,2026-04-25 16:44:46,4,0.6800,Research Lab TSX code,/Users/cwb/Downloads/viewtube/docs/Research Lab TSX code/ResearchLab copy.tsx,1634,GoogleChart,0.6,1.0,1.0,0.0,"shorts retention, packaging, research lab"
media__1777135346469.png,2026-04-25 16:44:46,5,0.6800,Research Lab TSX code,/Users/cwb/Downloads/viewtube/docs/Research Lab TSX code/ResearchLab copy 3.tsx,1324,GoogleChart,0.6,1.0,1.0,0.0,"shorts retention, packaging, research lab"
media__1777135346469.png,2026-04-25 16:44:46,6,0.6800,Research Lab TSX code,/Users/cwb/Downloads/viewtube/docs/Research Lab TSX code/ResearchLab copy 7.tsx,2003,GoogleChart,0.6,1.0,1.0,0.0,"shorts retention, packaging, research lab"
Screenshot 2026-04-02 at 1.39.42 AM.png,2026-04-02 05:39:47,1,0.8039,ustube-CHARTS,/Users/cwb/Downloads/APP_COPIES/ustube-CHARTS/views/ResearchLab.tsx,1203,GoogleChart,0.5,1.0,1.0,0.9894,"engagement map, keyword engine, performance stack"
Screenshot 2026-04-02 at 1.39.42 AM.png,2026-04-02 05:39:47,2,0.7956,viewtube copy 7,/Users/cwb/Downloads/APP_COPIES/viewtube copy 7/src/views/ResearchLab.tsx,2120,GoogleChart,0.5,1.0,1.0,0.9065,"engagement map, keyword engine, performance stack"
Screenshot 2026-04-02 at 1.39.42 AM.png,2026-04-02 05:39:47,3,0.7308,viewtube copy 8,/Users/cwb/Downloads/APP_COPIES/viewtube copy 8/src/views/ResearchLab.tsx,2122,GoogleChart,0.5,1.0,1.0,0.2578,"engagement map, keyword engine, performance stack"
Screenshot 2026-04-02 at 1.39.42 AM.png,2026-04-02 05:39:47,4,0.7156,viewtube copy 6,/Users/cwb/Downloads/APP_COPIES/viewtube copy 6/src/views/ResearchLab.tsx,2120,GoogleChart,0.5,1.0,1.0,0.9065,"engagement map, keyword engine, performance stack"
Screenshot 2026-04-02 at 1.39.42 AM.png,2026-04-02 05:39:47,5,0.7156,viewtube copy 3,/Users/cwb/Downloads/APP_COPIES/viewtube copy 3/src/views/ResearchLab.tsx,2120,GoogleChart,0.5,1.0,1.0,0.9065,"engagement map, keyword engine, performance stack"
Screenshot 2026-04-02 at 1.39.42 AM.png,2026-04-02 05:39:47,6,0.7156,viewtube copy 5,/Users/cwb/Downloads/APP_COPIES/viewtube copy 5/src/views/ResearchLab.tsx,2120,GoogleChart,0.5,1.0,1.0,0.9065,"engagement map, keyword engine, performance stack"
Screenshot 2026-04-03 at 5.25.10 PM.png,2026-04-03 21:25:16,1,0.7428,viewtube copy 7,/Users/cwb/Downloads/APP_COPIES/viewtube copy 7/src/views/ResearchLab.tsx,2003,GoogleChart,0.4,1.0,1.0,0.9278,"shorts retention, packaging"
Screenshot 2026-04-03 at 5.25.10 PM.png,2026-04-03 21:25:16,2,0.7324,ustube-CHARTS,/Users/cwb/Downloads/APP_COPIES/ustube-CHARTS/views/ResearchLab.tsx,1082,GoogleChart,0.4,1.0,1.0,0.8238,"shorts retention, packaging"
Screenshot 2026-04-03 at 5.25.10 PM.png,2026-04-03 21:25:16,3,0.6923,viewtube copy 8,/Users/cwb/Downloads/APP_COPIES/viewtube copy 8/src/views/ResearchLab.tsx,2005,GoogleChart,0.4,1.0,1.0,0.4235,"shorts retention, packaging"
Screenshot 2026-04-03 at 5.25.10 PM.png,2026-04-03 21:25:16,4,0.6628,viewtube copy 6,/Users/cwb/Downloads/APP_COPIES/viewtube copy 6/src/views/ResearchLab.tsx,2003,GoogleChart,0.4,1.0,1.0,0.9278,"shorts retention, packaging"
Screenshot 2026-04-03 at 5.25.10 PM.png,2026-04-03 21:25:16,5,0.6628,viewtube copy 3,/Users/cwb/Downloads/APP_COPIES/viewtube copy 3/src/views/ResearchLab.tsx,2003,GoogleChart,0.4,1.0,1.0,0.9278,"shorts retention, packaging"
Screenshot 2026-04-03 at 5.25.10 PM.png,2026-04-03 21:25:16,6,0.6628,viewtube copy 5,/Users/cwb/Downloads/APP_COPIES/viewtube copy 5/src/views/ResearchLab.tsx,2003,GoogleChart,0.4,1.0,1.0,0.9278,"shorts retention, packaging"
Screenshot 2026-03-18 at 4.59.21 PM.png,2026-03-18 20:59:26,1,0.6110,Research Lab TSX code,/Users/cwb/Downloads/viewtube/docs/Research Lab TSX code/ResearchLab copy 5.tsx,610,GoogleChart,0.375,1.0,0.8,0.8474,"watch time distribution, subscribers gained, research lab"
Screenshot 2026-03-18 at 4.59.21 PM.png,2026-03-18 20:59:26,2,0.5714,Research Lab TSX code,/Users/cwb/Downloads/viewtube/docs/Research Lab TSX code/ResearchLab copy 3.tsx,2005,GoogleChart,0.25,1.0,1.0,0.8391,"video value matrix, research lab"
Screenshot 2026-03-18 at 4.59.21 PM.png,2026-03-18 20:59:26,3,0.5530,ustube (22),/Users/cwb/Downloads/APP_COPIES/ustube (22)/views/ResearchLab.tsx,3306,GoogleChart,0.25,1.0,1.0,0.6555,"video value matrix, subscribers gained"
Screenshot 2026-03-18 at 4.59.21 PM.png,2026-03-18 20:59:26,4,0.5525,ustubeZZZ,/Users/cwb/Downloads/APP_COPIES/ustubeZZZ/views/ResearchLab.tsx,3315,GoogleChart,0.25,1.0,1.0,0.6502,"video value matrix, subscribers gained"
Screenshot 2026-03-18 at 4.59.21 PM.png,2026-03-18 20:59:26,5,0.5525,CCHARTS_M22_UTZZ,/Users/cwb/Downloads/viewtube/docs/CCHARTS_M22_UTZZ/ResearchLab_MAR22.tsx,3315,GoogleChart,0.25,1.0,1.0,0.6502,"video value matrix, subscribers gained"
Screenshot 2026-03-18 at 4.59.21 PM.png,2026-03-18 20:59:26,6,0.5204,xxx-opy-of-ustube-x(1),/Users/cwb/Downloads/APP_COPIES/xxx-opy-of-ustube-x(1)/components/ResearchLab/GoogleChartsGallery.tsx,217,GoogleChart,0.25,0.6667,1.0,0.9954,"video value matrix, revenue distribution"
Screenshot 2026-03-20 at 2.47.17 PM 3.png,2026-03-20 18:47:20,1,0.7236,xxx-opy-of-ustube-x(3) copy,/Users/cwb/Downloads/APP_COPIES/xxx-opy-of-ustube-x(3) copy/views/ResearchLab.tsx,1459,GoogleChart,0.5,1.0,1.0,0.9863,"shorts retention, packaging, engagement map"
Screenshot 2026-03-20 at 2.47.17 PM 3.png,2026-03-20 18:47:20,2,0.7209,xxx-opy-of-ustube-x(3),/Users/cwb/Downloads/APP_COPIES/xxx-opy-of-ustube-x(3)/views/ResearchLab.tsx,1652,GoogleChart,0.5,1.0,1.0,0.9595,"shorts retention, packaging, engagement map"
Screenshot 2026-03-20 at 2.47.17 PM 3.png,2026-03-20 18:47:20,3,0.7096,ustube (22),/Users/cwb/Downloads/APP_COPIES/ustube (22)/views/ResearchLab.tsx,1197,GoogleChart,0.5,1.0,1.0,0.8463,"shorts retention, packaging, engagement map"
Screenshot 2026-03-20 at 2.47.17 PM 3.png,2026-03-20 18:47:20,4,0.7091,ustubeZZZ,/Users/cwb/Downloads/APP_COPIES/ustubeZZZ/views/ResearchLab.tsx,1206,GoogleChart,0.5,1.0,1.0,0.841,"shorts retention, packaging, engagement map"
Screenshot 2026-03-20 at 2.47.17 PM 3.png,2026-03-20 18:47:20,5,0.7050,ustube-CHARTS,/Users/cwb/Downloads/APP_COPIES/ustube-CHARTS/views/ResearchLab.tsx,1082,GoogleChart,0.5,1.0,1.0,0.0,"shorts retention, packaging, engagement map"
Screenshot 2026-03-20 at 2.47.17 PM 3.png,2026-03-20 18:47:20,6,0.7050,viewtube copy 7,/Users/cwb/Downloads/APP_COPIES/viewtube copy 7/src/views/ResearchLab.tsx,2003,GoogleChart,0.5,1.0,1.0,0.0,"shorts retention, packaging, engagement map"
